Week 	POI 	 	MP 	 	LP 	
1 	0.980769230769 	0.137335162087 	0.98 	0.14 	0.979591836735 	0.141391902659
2 	0.977777777778 	0.147405546238 	0.965517241379 	0.18246560766 	0.980392156863 	0.138648388468
3 	0.962264150943 	0.19055669695 	0.965517241379 	0.18246560766 	0.966101694915 	0.180967428001
4 	0.983050847458 	0.129080900099 	0.96875 	0.173992636338 	0.962264150943 	0.19055669695
5 	0.979591836735 	0.141391902659 	0.970149253731 	0.170175436582 	0.981481481481 	0.134816849801
6 	0.979166666667 	0.142826137508 	0.98 	0.14 	0.979166666667 	0.142826137508
7 	0.962962962963 	0.188852574578 	0.967741935484 	0.176684695969 	0.965517241379 	0.18246560766
8 	0.978723404255 	0.144304893258 	0.964912280702 	0.184001552311 	0.98 	0.14
9 	0.977272727273 	0.149032693734 	0.984126984127 	0.124984251968 	0.978723404255 	0.144304893258
10 	0.977272727273 	0.149032693734 	0.962962962963 	0.188852574578 	0.964285714286 	0.18557687224
11 	0.963636363636 	0.187193275291 	0.963636363636 	0.187193275291 	0.962962962963 	0.188852574578
12 	0.981132075472 	0.136058538697 	0.982142857143 	0.132432115841 	0.962264150943 	0.19055669695
